22nd May, 1906.                              2ö3
I3U1. A. If-                                         I^a,Hitgh(Ycil(St.Ptini*Viis,E.        Pricf,C.K.iE«liiil»iirgl«.('«*iirra!)
Glailsttiiif,Jll.Hii.lIerl)Ort.John  ISôLfluniinii, ILC. ·                              Pricf.Bolu'ri.lolitn'Noi-folk.K.i
Glcniliiiniiig, R» G.                             LcverJA.!.··vyt Essex.llarwich)        Priestley, Atthtir iGrniithiimi
Glover, Thomas                                Lcver,W.IL*'('hesliirf,AA'irral)  2."iiiPri«istl«*y,AV.K.B.i ?·-!?.??..?*·1.?.?
lS5Gp«liliird» Danifl Forti                      Ijcvy, Maurice                                   Rainy, A. Holland
Grant, Curri«*'                                     Lcxvis, Jolin llct-lieri,                        Ilapliael, llfilifi-t II.
Gnvnxrootl, G. (Peterborough)   I'.HiLh-yil-Gf.irgf. lit. Unit..David.        Bea, Busscll (Clout-cstcri
(???????????. llamar (A'ork)              !.«itigli, 'I'liontas                                 B.'a.AA'nlifi· HussflllSfnrhfY1'
Grilliti), Ellis J.                                  Luptmi, Arnold                            J-'i-M.'tts, J. D.
''iOOiicsl, lion. Ivor Churchill              Liittivll, Hugh FnxvtttXs                     l'«tiila!l, Allu-lslaii
(!union. Sir AV. Brampton .            Lyfll, Charles llfiiry                        Bi-iiti-n, Major L-sue
Ilaliliiitf, Bt. linn. Biclmrd B.    lOÒ.AIacdoiial.l, J. IL (l.'fitvsti>r)            Bicha ?·. Is. T.' ?·*. i AV..Iv.-rli"iti|.'":i
lini!, Frederick.                                   ?.?«·«?????1??,.?.?.( Falkirk B'glis        Kirliarilsoii, A.
Hari-otitt. Ilight ll.on. Lewis            "ilackaiticss. Frederic C-.            2!»nBickftÌ, .1. ('iimptuii
l:^IIiiruisK.i»rtli,('eeil B. (AVOre'r)        Machan, ???????«!                                BiiUdalc, E. A.
Harl-Davies T.                                  .Alafiiatnara. Dr. Thomas J.              Ilolicrls, Charles II. (Liiicolui
H.irxiy, A: G. V. (Iloclulalr)      '.'UOM'Criif, (Í.-yugc                                 Bol »eri s, (J. II. ( .NOriyidí)
Iliii-xvfMM'l, (Jforgf                             M'Kfiiiia, Bfgiiiiihl                           BoIntIs, John II. (J)fuhighs.)
Iliisliim, Jaiiies (Derbyshire)           M'Lyrcii, Sir (.'. B. ( Li-icestcr)    IN"··*·Bnlieris«m, Rt.liti. E. \ Diitid.v)
lk'llit-lani. Lcxvis (Moinnouth)             M'.AIickiiig,* Major G.                        Hnl-crlsnn, J. M. (Tynesiilf)
